regime,entity_type,seed,floor_fraction,min_weight,factors,test_auc,untuned_auc,hhi,largest_share,untuned_hhi,converged
plausible,CONTRACTOR,37,0.95,0.2375,4,0.6995629169542212,0.7044729123533471,0.25118160779948856,0.27943552139663336,0.30000000000000016,True
plausible,CONTRACTOR,41,0.0,0.0,4,0.7155649346945759,0.7019406262476473,0.26024887328820945,0.29716217295102626,0.30000000000000016,True
plausible,CONTRACTOR,41,0.1,0.025,4,0.7185165117207551,0.7019406262476473,0.26336737366874025,0.3333913133010024,0.30000000000000016,True
plausible,CONTRACTOR,41,0.25,0.0625,4,0.7162279701135004,0.7019406262476473,0.2586246513813225,0.29459469885645473,0.30000000000000016,True
plausible,CONTRACTOR,41,0.4,0.1,4,0.7178463468887242,0.7019406262476473,0.25726985854766027,0.3088893975170096,0.30000000000000016,True
plausible,CONTRACTOR,41,0.6,0.15,4,0.7184666058290081,0.7019406262476473,0.2604838964405743,0.3254207683256308,0.30000000000000016,True
plausible,CONTRACTOR,41,0.8,0.2,4,0.717653852734843,0.7019406262476473,0.2543929800267633,0.2932900334389791,0.30000000000000016,True
plausible,CONTRACTOR,41,0.95,0.2375,4,0.7160782524382592,0.7019406262476473,0.25007603397306655,0.25561881853097823,0.30000000000000016,True
plausible,CONTRACTOR,53,0.0,0.0,4,0.746776696390901,0.7467051866047869,0.2678282181957956,0.3121587463049187,0.30000000000000016,True
plausible,CONTRACTOR,53,0.1,0.025,4,0.7467480924764553,0.7467051866047869,0.26824781142641996,0.3127137109869745,0.30000000000000016,True
plausible,CONTRACTOR,53,0.25,0.0625,4,0.746640827797284,0.7467051866047869,0.26702809628958074,0.31276913143928925,0.30000000000000016,True
plausible,CONTRACTOR,53,0.4,0.1,4,0.7467123375833983,0.7467051866047869,0.26820322647801836,0.3123033705133146,0.30000000000000016,True
plausible,CONTRACTOR,53,0.6,0.15,4,0.7463976945244957,0.7467051866047869,0.2640492096007944,0.30560437686901876,0.30000000000000016,True
plausible,CONTRACTOR,53,0.8,0.2,4,0.7429437718551783,0.7467051866047869,0.25600554190545405,0.30085410596743345,0.30000000000000016,True
plausible,CONTRACTOR,53,0.95,0.2375,4,0.7412775938387168,0.7467051866047869,0.2501136496833053,0.25452647354360536,0.30000000000000016,True
adversarial,SECTOR,11,0.0,0.0,5,0.8118407128933445,0.7818379281537178,0.6823837671284863,0.8204062938568912,0.22380000000000003,True
adversarial,SECTOR,11,0.1,0.020000000000000004,5,0.8116847674742411,0.7818379281537178,0.6787107803532281,0.8181399833948657,0.22380000000000003,True
adversarial,SECTOR,11,0.25,0.05,5,0.8115121136173769,0.7818379281537178,0.646684394215216,0.7977847295926427,0.22380000000000003,True
