agency,board,month,requests,slaBreachRate,repeatComplaintRate,escalationRate,openComplaintLoad,avgResolutionDays,nextBreachRate,failed,score,probability
DEP,3,2025-01,149,0.19463087248322147,0.36363636363636365,0,88,3.3141468253968256,0.25252525252525254,0,19.112395558414399,0.078378378378378383
DEP,3,2025-02,99,0.25252525252525254,0.32203389830508472,0,90,2.327720504009164,0.23762376237623761,0,23.322134782938395,0.11846689895470383
DEP,3,2025-03,101,0.23762376237623761,0.38461538461538464,0,94,16.463588201603667,0.34848484848484851,1,25.853286030813148,0.11846689895470383
DEP,3,2025-04,66,0.34848484848484851,0.48214285714285715,0,97,3.9466269841269845,0.40697674418604651,1,32.259444537903853,0.23474178403755869
DEP,3,2025-05,86,0.40697674418604651,0.375,0,101,7.3741446476964772,0.19298245614035087,0,37.26214469717884,0.3271604938271605
DEP,3,2025-06,228,0.19298245614035087,0.42780748663101603,0,112,1.9091333845366103,0.18909090909090909,0,19.221408471335828,0.078378378378378383
DEP,3,2025-07,275,0.18909090909090909,0.50467289719626163,0,113,1.8851885644768855,0.22651933701657459,0,19.299323499211994,0.078378378378378383
DEP,3,2025-08,181,0.22651933701657459,0.34234234234234234,0,116,1.521746254681648,0.27522935779816515,0,21.427193148441866,0.11846689895470383
DEP,3,2025-09,109,0.27522935779816515,0.37313432835820898,0,114,3.7175112612612615,0.25899280575539568,0,25.979858085229491,0.13513513513513514
DEP,3,2025-10,139,0.25899280575539568,0.376,0,128,8.3417999999999992,0.35789473684210527,1,25.945631245165139,0.13513513513513514
DEP,3,2025-11,95,0.35789473684210527,0.2988505747126437,0,121,3.7927355664488016,0.37614678899082571,1,32.313884318212445,0.23474178403755869
DEP,4,2022-01,63,0.41269841269841268,0.11290322580645161,0,15,1.1709056712962962,0.43902439024390244,1,34.018507657093622,0.3271604938271605
DEP,4,2022-02,41,0.43902439024390244,0.26829268292682928,0,8,5.4085937500000005,0.28358208955223879,0,37.836854795273439,0.35869565217391303
DEP,4,2022-03,67,0.28358208955223879,0.15151515151515152,0,13,2.5812612007168463,0.25,0,24.197077373465845,0.11846689895470383
DEP,4,2022-04,72,0.25,0.2638888888888889,0,15,2.696418650793651,0.23026315789473684,0,22.121054093175111,0.11846689895470383
DEP,4,2022-05,152,0.23026315789473684,0.192,0,36,1.5357347328244275,0.12698412698412698,0,20.129061386970939,0.11846689895470383
DEP,4,2022-06,189,0.12698412698412698,0.39726027397260272,0.0052910052910052907,23,1.2621252750275027,0.085798816568047331,0,12.716325615696023,0.027397260273972601
DEP,4,2022-07,338,0.085798816568047331,0.38762214983713356,0,29,1.3113600234270415,0.12374581939799331,0,9.4222880890353622,0.017391304347826087
DEP,4,2022-08,299,0.12374581939799331,0.43321299638989169,0,22,2.0275304103122731,0.22,0,12.782313421416299,0.027397260273972601
DEP,4,2022-09,200,0.22,0.33333333333333331,0,30,1.0263274016203703,0.22222222222222221,0,19.829616208078949,0.11846689895470383
DEP,4,2022-10,72,0.22222222222222221,0.33823529411764708,0,23,3.6090101969057669,0.17333333333333334,0,20.572922292884435,0.11846689895470383
DEP,4,2022-11,75,0.17333333333333334,0.35714285714285715,0,24,1.7033971471471472,0.36507936507936506,1,16.312959275686072,0.078378378378378383
DEP,4,2022-12,63,0.36507936507936506,0.28301886792452829,0,29,4.0520114942528735,0.20967741935483872,0,31.89462131127366,0.23474178403755869
DEP,4,2023-01,62,0.20967741935483872,0.2711864406779661,0.016129032258064516,23,5.9797589869281049,0.26315789473684209,0,19.879578069789094,0.11846689895470383
DEP,4,2023-02,38,0.26315789473684209,0.37037037037037035,0,29,4.947916666666667,0.125,0,24.391134080955975,0.11846689895470383
DEP,4,2023-03,48,0.125,0.28125,0,25,6.6416533119658121,0.14150943396226415,0,13.254003008561646,0.027397260273972601
DEP,4,2023-04,106,0.14150943396226415,0.34444444444444444,0.018867924528301886,49,2.8997374661246615,0.26865671641791045,0,14.348326331198225,0.078378378378378383
DEP,4,2023-05,134,0.26865671641791045,0.44736842105263158,0,43,1.9657837301587302,0.14285714285714285,0,24.654150307970585,0.11846689895470383
DEP,4,2023-06,119,0.14285714285714285,0.48514851485148514,0,29,4.3158208020050131,0.12465373961218837,0,15.190392379344141,0.078378378378378383
DEP,4,2023-07,361,0.12465373961218837,0.54208754208754206,0,39,0.88804605887939214,0.15032679738562091,0,13.308302648332463,0.027397260273972601
DEP,4,2023-08,153,0.15032679738562091,0.47142857142857142,0,33,2.8683525506638716,0.13725490196078433,0,15.416964277617867,0.078378378378378383
DEP,4,2023-09,255,0.13725490196078433,0.5,0,42,0.87794997741644087,0.1834862385321101,0,14.135396940835131,0.078378378378378383
DEP,4,2023-10,109,0.1834862385321101,0.44086021505376344,0.0091743119266055051,45,1.6222680817610065,0.21818181818181817,0,17.793249601976463,0.078378378378378383
DEP,4,2023-11,55,0.21818181818181817,0.36170212765957449,0,43,1.6368908382066276,0.25,0,20.109478283079454,0.11846689895470383
DEP,4,2023-12,84,0.25,0.37735849056603776,0,44,14.17597891566265,0.25,0,25.731284782182325,0.11846689895470383
DEP,4,2024-01,84,0.25,0.29999999999999999,0,46,6.2479081978319781,0.3235294117647059,0,23.4768460073815,0.11846689895470383
DEP,4,2024-02,68,0.3235294117647059,0.36065573770491804,0,46,3.9440767973856206,0.16494845360824742,0,29.113569913702701,0.19
DEP,4,2024-03,97,0.16494845360824742,0.42682926829268292,0,41,2.9205814270152506,0.27710843373493976,0,16.461066474955963,0.078378378378378383
DEP,4,2024-04,83,0.27710843373493976,0.32203389830508472,0,47,2.3424062049062049,0.21590909090909091,0,24.835807019364633,0.11846689895470383
DEP,4,2024-05,88,0.21590909090909091,0.50632911392405067,0,49,2.1049095607235144,0.15740740740740741,0,20.825996335086078,0.11846689895470383
DEP,4,2024-06,324,0.15740740740740741,0.53676470588235292,0,62,1.0364840121471954,0.19733333333333333,0,16.181502070325809,0.078378378378378383
DEP,4,2024-07,375,0.19733333333333333,0.58188153310104529,0,59,1.8365593768371546,0.14107883817427386,0,19.759924126086769,0.11846689895470383
DEP,4,2024-08,241,0.14107883817427386,0.63033175355450233,0,54,1.9659891598915988,0.20909090909090908,0,15.479585941856707,0.078378378378378383
DEP,4,2024-09,110,0.20909090909090908,0.6179775280898876,0,52,3.4551587301587299,0.1650485436893204,0,21.192331988378026,0.11846689895470383
DEP,4,2024-10,103,0.1650485436893204,0.42352941176470588,0,45,4.7849494949494948,0.19780219780219779,0,16.939226427748292,0.078378378378378383
DEP,4,2024-11,91,0.19780219780219779,0.58904109589041098,0,50,1.2903746770025841,0.2807017543859649,0,19.607560008198391,0.078378378378378383
DEP,4,2024-12,57,0.2807017543859649,0.4375,0,54,1.5723794549266248,0.26363636363636361,0,25.591452270242787,0.11846689895470383
DEP,4,2025-01,110,0.26363636363636361,0.34177215189873417,0,62,2.345547385620915,0.25,0,24.01671974973279,0.11846689895470383
DEP,4,2025-02,56,0.25,0.31818181818181818,0,57,3.2168146630236794,0.32727272727272727,0,22.962364328344623,0.11846689895470383
DEP,4,2025-03,55,0.32727272727272727,0.41860465116279072,0,66,1.8814009661835751,0.29166666666666669,0,29.423657001313494,0.19
DEP,4,2025-04,72,0.29166666666666669,0.53703703703703709,0,70,8.3637459150326805,0.25925925925925924,0,28.754235480567736,0.19
DEP,4,2025-05,108,0.25925925925925924,0.5280898876404494,0,74,1.8109241452991454,0.10284463894967177,0,24.598154869929392,0.11846689895470383
DEP,4,2025-06,457,0.10284463894967177,0.53066666666666662,0,94,0.86209318586320871,0.14595660749506903,0,12.084156079157438,0.027397260273972601
DEP,4,2025-07,507,0.14595660749506903,0.65183246073298429,0,97,1.2083388447971781,0.18110236220472442,0,16.253274327688423,0.078378378378378383
DEP,4,2025-08,254,0.18110236220472442,0.59605911330049266,0,87,1.8184343434343435,0.26595744680851063,0,18.825259621219963,0.078378378378378383
DEP,4,2025-09,94,0.26595744680851063,0.6071428571428571,0,85,3.7427300347222219,0.31147540983606559,0,26.106302662144664,0.13513513513513514
DEP,4,2025-10,122,0.31147540983606559,0.54205607476635509,0.0081967213114754103,85,2.9727459016393443,0.44,1,29.279830076116792,0.19
DEP,4,2025-11,50,0.44,0.39583333333333331,0,84,27.48916122004357,0.46296296296296297,1,43.070928255179474,0.5
DEP,5,2022-01,112,0.33035714285714285,0.12962962962962962,0,26,1.141812015503876,0.28000000000000003,0,27.624696932700967,0.17582417582417584
DEP,5,2022-02,100,0.28000000000000003,0.32323232323232326,0.02,25,3.3111936193619362,0.32051282051282054,0,25.170394896042097,0.11846689895470383
DEP,5,2022-03,156,0.32051282051282054,0.20512820512820512,0.00641025641025641,47,2.9458074212271974,0.41935483870967744,1,27.899433340060742,0.18216123640001344
DEP,5,2022-04,93,0.41935483870967744,0.19780219780219779,0.010752688172043012,49,6.1550824175824168,0.3087248322147651,0,36.577703389869662,0.3271604938271605
DEP,5,2022-05,149,0.3087248322147651,0.22480620155038761,0.026845637583892617,68,2.9461378205128201,0.20909090909090908,0,27.379974021571503,0.17582417582417584
DEP,5,2022-06,110,0.20909090909090908,0.1875,0.018181818181818181,42,10.555647467320261,0.12430939226519337,0,20.716401801846342,0.11846689895470383
DEP,5,2022-07,362,0.12430939226519337,0.27596439169139464,0.0027624309392265192,52,2.5557804608585859,0.17915309446254071,0,12.499296417922565,0.027397260273972601
DEP,5,2022-08,307,0.17915309446254071,0.35687732342007433,0.0032573289902280132,52,2.7564038183134274,0.30081300813008133,0,17.341619085968009,0.078378378378378383
DEP,5,2022-09,123,0.30081300813008133,0.23853211009174313,0.024390243902439025,52,4.2840334236675703,0.2696629213483146,0,26.952286811682846,0.17582417582417584
DEP,5,2022-10,89,0.2696629213483146,0.30120481927710846,0.02247191011235955,50,4.7075015262515265,0.27586206896551724,0,24.843718939101525,0.11846689895470383
DEP,5,2022-11,87,0.27586206896551724,0.25974025974025972,0.011494252873563218,50,5.7475255427841638,0.32467532467532467,0,25.325225154246461,0.11846689895470383
DEP,5,2022-12,154,0.32467532467532467,0.21705426356589147,0.012987012987012988,72,4.3311237373737379,0.21238938053097345,0,28.920394540091021,0.19
DEP,5,2023-01,113,0.21238938053097345,0.30681818181818182,0.017699115044247787,62,2.9096318879855465,0.28947368421052633,0,19.965093187594327,0.11846689895470383
DEP,5,2023-02,76,0.28947368421052633,0.3188405797101449,0,64,3.1878096846846846,0.24786324786324787,0,26.190944012391398,0.16666666666666666
DEP,5,2023-03,117,0.24786324786324787,0.25961538461538464,0.0085470085470085479,75,1.6029219077568135,0.25641025641025639,0,22.347898026440721,0.11846689895470383
DEP,5,2023-04,117,0.25641025641025639,0.32075471698113206,0.0085470085470085479,85,15.938103582554517,0.25547445255474455,0,26.858894648341344,0.17582417582417584
DEP,5,2023-05,137,0.25547445255474455,0.3504273504273504,0,72,9.724111111111112,0.27722772277227725,0,25.271158396793631,0.11846689895470383
DEP,5,2023-06,101,0.27722772277227725,0.36170212765957449,0.019801980198019802,68,7.3629365079365083,0.13496932515337423,0,26.561783501231794,0.1702127659574468
DEP,5,2023-07,326,0.13496932515337423,0.40202702702702703,0.0061349693251533744,78,1.5238989978902955,0.19186046511627908,0,14.029426052224588,0.078378378378378383
DEP,5,2023-08,172,0.19186046511627908,0.35064935064935066,0,70,3.0316203703703706,0.28440366972477066,0,18.567433078761429,0.078378378378378383
DEP,5,2023-09,218,0.28440366972477066,0.35175879396984927,0.027522935779816515,89,1.7357272473478504,0.19811320754716982,0,26.006983370921741,0.13513513513513514
