regime,entity_type,seed,bayes_ceiling,model,interpretable,roc_auc,average_precision,brier,precision_at_threshold,recall_at_threshold
adversarial,PROJECT,20260826,0.8272633240786107,Gradient boosting,False,0.8187361117297424,0.8441985720531289,0.1734466112430357,0.7865707434052758,0.6963906581740976
adversarial,PROJECT,20260826,0.8272633240786107,Random forest,False,0.820859253980273,0.8473674734670188,0.1710073403064855,0.8029197080291971,0.7006369426751592
adversarial,PROJECT,20260827,0.8324994173332209,GRIE (hand-specified),True,0.8140177229878162,0.8415396200566303,0.19901264954435538,0.9455782312925171,0.29018789144050106
adversarial,PROJECT,20260827,0.8324994173332209,GRIE (tuned weights),True,0.820236141208674,0.8492232696774429,0.19539226308541685,0.9447852760736196,0.32150313152400833
adversarial,PROJECT,20260827,0.8324994173332209,Logistic regression,True,0.8184311139101156,0.8439546779924615,0.1748496490200609,0.7545271629778671,0.7828810020876826
adversarial,PROJECT,20260827,0.8324994173332209,Gradient boosting,False,0.8203402773989755,0.853553782792068,0.17065033402076274,0.7802690582959642,0.7265135699373695
adversarial,PROJECT,20260827,0.8324994173332209,Random forest,False,0.8239404142636828,0.8572298895288061,0.1692295061826749,0.7899543378995434,0.7223382045929019
adversarial,PROJECT,20260828,0.813268213670191,GRIE (hand-specified),True,0.7973076410253878,0.8078760901213506,0.19881581416829458,0.9006622516556292,0.30155210643015523
adversarial,PROJECT,20260828,0.813268213670191,GRIE (tuned weights),True,0.7976977664087229,0.8097710428947364,0.19864197095174232,0.9194630872483222,0.30376940133037694
adversarial,PROJECT,20260828,0.813268213670191,Logistic regression,True,0.7929224341848602,0.8044843885615464,0.18561570066256627,0.7194570135746606,0.70509977827051
adversarial,PROJECT,20260828,0.813268213670191,Gradient boosting,False,0.7942335517706262,0.809686693690344,0.1832313964244657,0.783641160949868,0.6585365853658537
adversarial,PROJECT,20260828,0.813268213670191,Random forest,False,0.8030410026716182,0.8246194154144191,0.17801576833919408,0.7714285714285715,0.6585365853658537
adversarial,PROJECT,20260829,0.8230053513457423,GRIE (hand-specified),True,0.7962535638579102,0.8289415462563162,0.20029436573942,0.94,0.30585683297180044
adversarial,PROJECT,20260829,0.8230053513457423,GRIE (tuned weights),True,0.799855716255145,0.833462368113915,0.19944456662295706,0.9539473684210527,0.31453362255965295
adversarial,PROJECT,20260829,0.8230053513457423,Logistic regression,True,0.7945537827541396,0.823775836921769,0.1848135493635819,0.7190775681341719,0.7440347071583514
adversarial,PROJECT,20260829,0.8230053513457423,Gradient boosting,False,0.8165521126203805,0.8502639676253647,0.17044046852393177,0.805,0.6984815618221258
adversarial,PROJECT,20260829,0.8230053513457423,Random forest,False,0.8197144960692562,0.854676477686752,0.1694178888622516,0.8025641025641026,0.6789587852494577
adversarial,PROJECT,20260830,0.8479710798922934,GRIE (hand-specified),True,0.8188972473333698,0.8584314567129001,0.19660623816241352,0.9801324503311258,0.3089770354906054
adversarial,PROJECT,20260830,0.8479710798922934,GRIE (tuned weights),True,0.8233255148542837,0.8609504680259883,0.19373802342651197,0.9695121951219512,0.33194154488517746
adversarial,PROJECT,20260830,0.8479710798922934,Logistic regression,True,0.8153169459334818,0.8490941927514513,0.17561927668952468,0.7525773195876289,0.7620041753653445
adversarial,PROJECT,20260830,0.8479710798922934,Gradient boosting,False,0.840329467070649,0.8714868122309334,0.16196698561701642,0.7678958785249458,0.7390396659707724
adversarial,PROJECT,20260830,0.8479710798922934,Random forest,False,0.8430915555467398,0.8818825402966896,0.15905059208462288,0.7871396895787139,0.7411273486430062
adversarial,CONTRACTOR,20260826,0.784479525885839,GRIE (hand-specified),True,0.7417371931088743,0.7014846292882382,0.206292953314075,0.9375,0.1465798045602606
adversarial,CONTRACTOR,20260826,0.784479525885839,GRIE (tuned weights),True,0.7787810383747178,0.7458741228112755,0.19821068481412993,0.8888888888888888,0.13029315960912052
adversarial,CONTRACTOR,20260826,0.784479525885839,Logistic regression,True,0.7781854545187168,0.7444878869486051,0.18194024255740948,0.7488584474885844,0.5342019543973942
adversarial,CONTRACTOR,20260826,0.784479525885839,Gradient boosting,False,0.785872897993397,0.7507321060643709,0.17842609675522916,0.7400881057268722,0.5472312703583062
adversarial,CONTRACTOR,20260826,0.784479525885839,Random forest,False,0.7820677789133903,0.7447501183252554,0.18070650011323477,0.7301587301587301,0.5993485342019544
adversarial,CONTRACTOR,20260827,0.8196427132697083,GRIE (hand-specified),True,0.7909528378586235,0.7372351840633358,0.19782150483666905,0.8653846153846154,0.14469453376205788
adversarial,CONTRACTOR,20260827,0.8196427132697083,GRIE (tuned weights),True,0.8199723135744055,0.7764980085361783,0.19201524001681147,0.8780487804878049,0.1157556270096463
adversarial,CONTRACTOR,20260827,0.8196427132697083,Logistic regression,True,0.8177090581488182,0.7717749595885962,0.16929854306193995,0.7676348547717843,0.594855305466238
adversarial,CONTRACTOR,20260827,0.8196427132697083,Gradient boosting,False,0.8066930835207172,0.7651313627855123,0.17203979437998418,0.7698744769874477,0.5916398713826366
adversarial,CONTRACTOR,20260827,0.8196427132697083,Random forest,False,0.80353624504684,0.7687249220723158,0.17234771065466073,0.75,0.617363344051447
adversarial,CONTRACTOR,20260828,0.8009846315666453,GRIE (hand-specified),True,0.7633451177467423,0.728221758013684,0.20284382000844114,0.9,0.17197452229299362
